Batch_ID,Material,Size_nm,PDI,Charge_mV,Encapsulation_%,Stability_%,Toxicity_%,Hydrodynamic_Size_nm,Surface_Area_nm2,Pore_Size_nm,Degradation_Time_days,Target_Cells,Ligand,Receptor,Delivery_Efficiency_%,Particle_Concentration_per_mL,Preparation_Method,pH,Osmolality_mOsm,Sterility_Pass,Endotoxin_EU_mL,Adverse_Event,Severity,Source,Confidence
FAERS-LNP-000001,LNP (From FAERS),99.77263464771998,0.16024333178267655,-8.721186866224981,90.22376113198759,76.33817698392892,12.299220831758387,112.18387542286068,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Vomiting,Mild,FDA FAERS,0.75
FAERS-LNP-000002,LNP (From FAERS),101.09291460901575,0.17407872361345061,-10.573622460812388,94.55244068674645,80.79725826579785,23.08849082813051,113.99957581694768,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Anaphylaxis,Mild,FDA FAERS,0.75
FAERS-LNP-000003,LNP (From FAERS),103.64193730779417,0.17404280180799436,-11.850854862937211,92.67387351513214,80.13873725666096,29.735860427253733,112.8038982019266,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Shortness of breath,Mild,FDA FAERS,0.75
FAERS-LNP-000004,LNP (From FAERS),102.00710753551326,0.1712540499649946,-10.685372631075,88.66122904409714,86.54262693195686,54.0180036664688,107.53540354241811,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Anaphylaxis,Moderate,FDA FAERS,0.75
FAERS-LNP-000005,LNP (From FAERS),96.16596750435427,0.15248025821216693,-8.319627680604219,89.77526515324998,77.40337424713792,24.396210986258666,110.87375802681831,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Anxiety,Mild,FDA FAERS,0.75
FAERS-LNP-000006,LNP (From FAERS),98.38931805391138,0.13959234547646823,-10.528489180861303,88.81967536310364,78.42596682327188,64.44322395215663,113.3702306861597,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Injection site reaction,Severe,FDA FAERS,0.75
FAERS-LNP-000007,LNP (From FAERS),96.73569693900268,0.12598758906239532,-11.250264125488503,94.22432946341421,80.56634747722181,40.583876037225636,107.22843322036637,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Shortness of breath,Moderate,FDA FAERS,0.75
FAERS-LNP-000008,LNP (From FAERS),99.93715770290522,0.14198669681171083,-11.068883893641374,93.18618462137168,81.60366440910033,19.971816991876523,108.80507873421658,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Injection site reaction,Mild,FDA FAERS,0.75
FAERS-LNP-000009,LNP (From FAERS),102.81321599445377,0.14616691224731815,-9.743118542260454,87.18975257182329,88.99082476288447,30.413816469911907,113.3186951570158,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Fever,Moderate,FDA FAERS,0.75
FAERS-LNP-000010,LNP (From FAERS),96.60245280669078,0.17583627463191526,-8.416375020358947,94.71323546064961,78.54022695226925,27.093539920309283,114.27291467899305,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Myalgia,Mild,FDA FAERS,0.75
FAERS-LNP-000011,LNP (From FAERS),95.60211062699118,0.14466665106887305,-9.03154454731685,87.3668348053354,76.60958378358596,37.40774787723503,113.8635562731248,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Vomiting,Moderate,FDA FAERS,0.75
FAERS-LNP-000012,LNP (From FAERS),96.994921919944,0.1329985540158995,-8.94247349438362,90.87941127591316,87.99983900303195,52.12412173084425,114.9878623149758,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Allergic reaction,Moderate,FDA FAERS,0.75
FAERS-LNP-000013,LNP (From FAERS),96.2429455232095,0.1518742335216873,-11.149498575980779,94.16037119275025,87.03090729983072,12.167766452887228,112.00046935470726,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Chest pain,Mild,FDA FAERS,0.75
FAERS-LNP-000014,LNP (From FAERS),98.8650170162498,0.17853759855471873,-9.903362696141224,87.03190941174294,78.35513678774042,20.70603852049802,106.21921386423357,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Myalgia,Mild,FDA FAERS,0.75
FAERS-LNP-000015,LNP (From FAERS),97.85706706131053,0.12401296138788798,-8.781257966387741,92.23294497657803,83.538236263208,46.81443701926351,112.71571020773217,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Chest pain,Moderate,FDA FAERS,0.75
FAERS-LNP-000016,LNP (From FAERS),100.92673323889863,0.15503681676463973,-9.22055313296196,86.9319883969037,78.39834777211398,22.637382286220834,113.24435256356097,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Chest pain,Mild,FDA FAERS,0.75
FAERS-LNP-000017,LNP (From FAERS),104.22966578407568,0.14256149520455574,-10.672037582533003,85.69173962495209,85.2427521273171,36.77062406691501,111.41707574542089,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Allergic reaction,Moderate,FDA FAERS,0.75
FAERS-LNP-000018,LNP (From FAERS),99.25612158083212,0.15487122556075825,-8.573869749950726,93.87511553243914,88.54810062560342,20.716233611316756,108.73637964671819,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Myalgia,Mild,FDA FAERS,0.75
FAERS-LNP-000019,LNP (From FAERS),96.90404500819682,0.15308476767719195,-11.972833408035491,86.50373737345757,88.25260758237025,56.80911850448865,112.24608417270726,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Tremor,Moderate,FDA FAERS,0.75
FAERS-LNP-000020,LNP (From FAERS),98.52601069188516,0.15420410684123637,-11.55534634861086,94.14456095217984,88.31150371099622,16.144575411151166,114.11902955663106,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Fever,Mild,FDA FAERS,0.75
FAERS-LNP-000021,LNP (From FAERS),102.42423904399689,0.12541189456958493,-10.9584191166219,94.35945368899904,87.59303038052616,11.541818935909031,107.441005681813,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Anaphylaxis,Mild,FDA FAERS,0.75
FAERS-LNP-000022,LNP (From FAERS),95.52768324927985,0.16537736561106664,-8.798179633567974,94.70737542404873,88.40386832990744,23.718132740710832,105.68747392994777,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Anaphylaxis,Mild,FDA FAERS,0.75
FAERS-LNP-000023,LNP (From FAERS),103.84739452699623,0.17566096207990278,-11.226938933370757,93.95756600580923,83.1364601373996,67.8794315875197,111.13931639822063,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Anaphylaxis,Severe,FDA FAERS,0.75
FAERS-LNP-000024,LNP (From FAERS),97.37571870981596,0.16268419111060353,-11.875165953684613,89.58194272396265,84.35499361330398,19.245215025446967,106.63930604483292,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Palpitations,Mild,FDA FAERS,0.75
FAERS-LNP-000025,LNP (From FAERS),103.93840538410612,0.17495757158704983,-10.746718769822554,94.8976190499369,83.8518014949244,27.483900416373224,113.21171877932744,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Chills,Mild,FDA FAERS,0.75
FAERS-LNP-000026,LNP (From FAERS),95.05001578412187,0.12404556332626016,-8.706743005658106,92.6030193563501,85.380547872297,27.721936309091706,108.57004096074125,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Fatigue,Mild,FDA FAERS,0.75
FAERS-LNP-000027,LNP (From FAERS),102.76808399863083,0.1781254767514157,-8.306065098630185,85.23878770457863,89.46949336319776,45.87484309057303,105.13505312121957,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Chills,Moderate,FDA FAERS,0.75
FAERS-LNP-000028,LNP (From FAERS),99.38276819432015,0.1374362935184152,-10.775403352343293,87.447570452967,80.40112202605188,19.41793723984023,108.74589101247423,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Allergic reaction,Mild,FDA FAERS,0.75
FAERS-LNP-000029,LNP (From FAERS),96.16867444432384,0.14784726556762248,-10.833851520448862,90.74745743723528,80.67621183317229,24.649687054225325,106.91293359198625,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Diarrhea,Mild,FDA FAERS,0.75
FAERS-LNP-000030,LNP (From FAERS),95.67874996778787,0.13501965535098506,-11.080874637390275,85.85231440956788,87.67183683460267,34.364772227761236,106.43362485838409,28274.0,2.4,28.0,Immune Cells,PEG,TLR,80.0,1.2e+14,Microfluidic,7.2,290.0,Yes,0.005,Vomiting,Moderate,FDA FAERS,0.75
